GROMACS
full-atom                                                        
name                      bond_type    epsilon(kcal/mol)                     sigma(Å)
opls_168                      HO                      0                      0
opls_169                      OH                      0.17                      3.07
opls_170                      HO                      0                      0
opls_171                      OH                      0.17                      3.07
opls_172                      HO                      0                      0
opls_173                      CT                      0.066                      3.5
opls_174                      CT                      0.066                      3.5
opls_175                      CT                      0.066                      3.5
opls_176                      HC                      0.03                      2.5
opls_178                      C=                      0.076                      3.55
opls_179                      OS                      0.14                      2.9
opls_180                      OS                      0.14                      2.9
opls_181                      CT                      0.066                      3.5
opls_182                      CT                      0.066                      3.5
opls_183                      CT                      0.066                      3.5
opls_184                      CT                      0.066                      3.5
opls_185                      HC                      0.03                      2.5
opls_186                      OS                      0.14                      2.9
opls_187                      OH                      0.17                      3.07
opls_188                      HO                      0                      0
opls_189                      CO                      0.066                      3.5
opls_190                      HC                      0.03                      2.5
opls_191                      CO                      0.066                      3.5
opls_192                      HC                      0.03                      2.5
opls_193                      CO                      0.066                      3.5
opls_194                      HC                      0.03                      2.5
opls_195                      CO                      0.066                      3.5
opls_196                      HC                      0.03                      2.5
opls_197                      CO                      0.066                      3.5
opls_198                      CO                      0.066                      3.5
opls_199                      CA                      0.07                      3.55
opls_200                      SH                      0.425                      3.6
opls_201                      SH                      0.25                      3.7
opls_202                      S                      0.355                      3.6
opls_203                      S                      0.25                      3.55
opls_204                      HS                      0                      0
opls_205                      HS                      0                      0
opls_206                      CT                      0.066                      3.5
opls_207                      CT                      0.066                      3.5
opls_208                      CT                      0.066                      3.5
opls_209                      CT                      0.066                      3.5
opls_210                      CT                      0.066                      3.5
opls_211                      CT                      0.066                      3.5
opls_212                      CT                      0.066                      3.5
opls_213                      CT                      0.066                      3.5
opls_214                      CT                      0.066                      3.5
opls_215                      CT                      0.066                      3.5
opls_216                      CT                      0.066                      3.5
opls_217                      CT                      0.066                      3.5
opls_218                      CT                      0.066                      3.5
opls_219                      CT                      0.066                      3.5
opls_220                      CT                      0.066                      3.5
opls_221                      CA                      0.07                      3.55
opls_222                      S                      0.25                      3.55
opls_223                      CT                      0.066                      3.5
opls_223B                      CT_2                      0.066                      3.5
opls_224                      CT                      0.066                      3.5
opls_224B                      CT_2                      0.066                      3.5
opls_225                      CT                      0.066                      3.5
opls_225B                      CT_2                      0.066                      3.5
opls_226                      Cl                      0.3                      3.4
opls_227                      CM                      0.076                      3.55
opls_228                      CA                      0.07                      3.55
opls_229                      CT                      0.066                      3.5
opls_230                      CT                      0.066                      3.5
opls_231                      C                      0.105                      3.75
opls_232                      C_2                      0.105                      3.75
opls_233                      C_2                      0.105                      3.75
opls_234                      C                      0.105                      3.75
opls_235                      C                      0.105                      3.75
opls_236                      O                      0.21                      2.96
opls_237                      N                      0.17                      3.25
opls_238                      N                      0.17                      3.25
opls_239                      N                      0.17                      3.25
opls_240                      H                      0                      0
opls_241                      H                      0                      0
opls_242                      CT                      0.066                      3.5
opls_243                      CT                      0.066                      3.5
opls_244                      CT                      0.066                      3.5
opls_245                      CT_3                      0.066                      3.5
opls_246                      CT_2                      0.066                      3.5
opls_247                      C                      0.105                      3.75
opls_248                      O                      0.21                      2.96
opls_249                      N                      0.17                      3.25
opls_250                      H                      0                      0
opls_251                      N                      0.17                      3.25
opls_252                      C                      0.105                      3.75
opls_253                      O                      0.21                      2.96
opls_254                      H                      0                      0
opls_255                      HC                      0.02                      2.5
opls_256                      CT                      0.066                      3.5
opls_257                      CT                      0.066                      3.5
opls_258                      CT                      0.066                      3.5
opls_259                      CT                      0.066                      3.5
opls_260                      CA                      0.07                      3.55
opls_261                      CZ                      0.15                      3.65
opls_262                      NZ                      0.17                      3.2
opls_263                      CA                      0.07                      3.55
opls_264                      Cl                      0.3                      3.4
opls_265                      N                      0.17                      3.25
opls_266                      CA                      0.07                      3.55
opls_267                      C                      0.105                      3.75
opls_268                      OH                      0.17                      3
opls_269                      O_3                      0.21                      2.96
opls_270                      HO                      0                      0
opls_271                      C_3                      0.105                      3.75
opls_272                      O2                      0.21                      2.96
opls_273                      CT                      0.066                      3.5
opls_274                      CT                      0.066                      3.5
opls_275                      CT                      0.066                      3.5
opls_276                      CT                      0.066                      3.5
opls_277                      C_2                      0.105                      3.75
opls_278                      O_2                      0.21                      2.96
opls_279                      HC                      0.015                      2.42
opls_280                      C_2                      0.105                      3.75
opls_281                      O_2                      0.21                      2.96
opls_282                      HC                      0.015                      2.42
opls_283                      CT_2                      0.066                      3.5
opls_284                      CT_2                      0.066                      3.5
opls_285                      CT_2                      0.066                      3.5
opls_286                      N3                      0.17                      3.25
opls_287                      N3                      0.17                      3.25
opls_288                      N3                      0.17                      3.25
opls_289                      H3                      0                      0
opls_290                      H3                      0                      0
opls_291                      CT                      0.066                      3.5
opls_292                      CT                      0.066                      3.5
opls_292B                      CT_2                      0.066                      3.5
opls_293                      CT                      0.066                      3.5
opls_293B                      CT_2                      0.066                      3.5
opls_294                      CT                      0.066                      3.5
opls_295                      CT_2                      0.066                      3.5
opls_296                      CT_3                      0.066                      3.5
opls_297                      CT                      0.066                      3.5
opls_298                      CT_2                      0.066                      3.5
opls_299                      CT_2                      0.066                      3.5
opls_300                      N2                      0.17                      3.25
opls_301                      H3                      0                      0
opls_302                      CA                      0.05                      2.25
opls_303                      N2                      0.17                      3.25
opls_304                      H3                      0                      0
opls_305                      CT                      0.066                      3.5
opls_306                      CT                      0.066                      3.5
opls_307                      CT                      0.066                      3.5
opls_308                      CT                      0.066                      3.5
opls_309                      N3                      0.17                      3.25
opls_310                      H3                      0                      0
opls_311                      NC                      0.17                      3.25
opls_312                      CA                      0.08                      3.5
opls_313                      N2                      0.17                      3.25
opls_314                      H                      0                      0
opls_315                      CA                      0.08                      3.5
opls_316                      HA                      0.05                      2.5
opls_317                      CA                      0.08                      3.5
opls_318                      HA                      0.05                      2.5
opls_319                      NA                      0.17                      3.25
opls_319B                      N*                      0.17                      3.25
opls_320                      C                      0.105                      3.75
opls_321                      NA                      0.17                      3.25
opls_322                      C                      0.105                      3.75
opls_323                      CM                      0.08                      3.5
opls_324                      CM                      0.08                      3.5
opls_325                      H                      0                      0
opls_326                      O                      0.21                      2.96
opls_327                      H                      0                      0
opls_328                      O                      0.21                      2.96
opls_329                      HC                      0.05                      2.5
opls_330                      HC                      0.05                      2.5
opls_331                      CT                      0.08                      3.5
opls_332                      HC                      0.05                      2.5
opls_333                      NA                      0.17                      3.25
opls_333B                      N*                      0.17                      3.25
opls_334                      C                      0.105                      3.75
opls_335                      NC                      0.17                      3.25
opls_336                      CA                      0.08                      3.5
opls_337                      CM                      0.08                      3.5
opls_338                      CM                      0.08                      3.5
opls_339                      H                      0                      0
opls_340                      O                      0.21                      2.96
opls_341                      N2                      0.17                      3.25
opls_342                      H                      0                      0
opls_343                      H                      0                      0
opls_344                      HC                      0.05                      2.5
opls_345                      H4                      0.05                      2.5
opls_346                      NC                      0.17                      3.25
opls_347                      CQ                      0.08                      3.5
opls_348                      NC                      0.17                      3.25
opls_349                      CB                      0.08                      3.5
opls_350                      CB                      0.08                      3.5
opls_351                      CA                      0.08                      3.5
opls_352                      NB                      0.17                      3.25
opls_353                      CK                      0.08                      3.5
opls_354                      NA                      0.17                      3.25
opls_354B                      N*                      0.17                      3.25
opls_355                      H5                      0.05                      2.5
opls_356                      N2                      0.17                      3.25
opls_357                      H                      0                      0
opls_358                      H                      0                      0
opls_359                      H5                      0.05                      2.5
opls_360                      H                      0                      0
opls_361                      NA                      0.17                      3.25
opls_362                      CA                      0.08                      3.5
opls_363                      NC                      0.17                      3.25
opls_364                      CB                      0.08                      3.5
opls_365                      CB                      0.08                      3.5
opls_366                      C                      0.105                      3.75
opls_367                      H                      0                      0
opls_368                      N2                      0.17                      3.25
opls_369                      H                      0                      0
opls_370                      O                      0.21                      2.96
opls_371                      CT                      0.08                      3.5
opls_372                      HC                      0.05                      2.5
opls_373                      CT                      0.08                      3.5
opls_374                      HC                      0.05                      2.5
opls_375                      CT                      0.08                      3.5
opls_376                      HC                      0.05                      2.5
opls_377                      NA                      0.17                      3.25
opls_377B                      N*                      0.17                      3.25
opls_378                      C                      0.105                      3.75
opls_379                      NA                      0.17                      3.25
opls_380                      CA                      0.08                      3.5
opls_381                      CM                      0.08                      3.5
opls_382                      CM                      0.08                      3.5
opls_383                      H                      0                      0
opls_384                      O                      0.21                      2.96
opls_385                      H                      0                      0
opls_386                      N2                      0.17                      3.25
opls_387                      H                      0                      0
opls_388                      H                      0                      0
opls_389                      HA                      0.05                      2.5
opls_390                      H4                      0.05                      2.5
opls_391                      CT                      0.08                      3.5
opls_392                      HC                      0.05                      2.5
opls_393                      P                      0.2                      3.74
opls_394                      O2                      0.21                      2.96
opls_395                      OS                      0.17                      3
opls_396                      CT                      0.066                      3.55
opls_400                      F-                      0.72                      2.73295
opls_401                      Cl-                      0.117789914                      4.41724
opls_402                      Br-                      0.09                      4.62376
opls_403                      I-                      0.07                      5.4
opls_404                      Li+                      6.25                      1.25992
opls_405                      Na+                      1.607139101                      1.89744
opls_406                      Li+                      0.018278991                      2.12645
opls_407                      Na+                      0.002771989                      3.33045
opls_408                      K+                      0.000328                      4.93463
opls_409                      Rb+                      0.000171                      5.62177
opls_410                      Cs+                      0.000081                      6.716
opls_411                      Mg2+                      0.875043021                      1.64447
opls_412                      Ca2+                      0.449655832                      2.41203
opls_413                      Sr2+                      0.118226099                      3.10269
opls_414                      Ba2+                      0.04709608                      3.81661
opls_415                      C3                      0.3                      4.2
opls_416                      HC                      0.05                      2.5
opls_417                      SH                      0.5                      4.25
opls_418                      C3                      0.3                      4.2
opls_419                      HC                      0.05                      2.5
opls_420                      OH                      0.25                      3.15
opls_421                      CT                      0.3                      4.2
opls_422                      HC                      0.05                      2.5
opls_423                      CZ                      0.15                      3.65
opls_424                      NZ                      0.25                      3.4
opls_425                      C3                      0.3                      4.2
opls_426                      HC                      0.05                      2.5
opls_427                      N3                      0.25                      3.4
opls_428                      H                      0.05                      2.5
opls_429                      C3                      0.3                      4.2
opls_430                      HC                      0.05                      2.5
opls_431                      CT                      0.3                      4.2
opls_432                      HC                      0.05                      2.5
opls_433                      LP                      0                      0
opls_434                      OH                      0.25                      3.2
opls_435                      HO                      0                      0
opls_436                      U                      0.4                      2.81524
opls_437                      OU                      0.2                      3.11815
opls_440                      P                      0.2                      3.74
opls_441                      O2                      0.2                      3.15
opls_442                      OS                      0.14                      2.9
opls_443                      CT                      0.066                      3.5
opls_444                      HC                      0.03                      2.5
opls_445                      P                      0.2                      3.74
opls_446                      O2                      0.2                      3.15
opls_447                      OS                      0.14                      2.9
opls_448                      CT                      0.066                      3.5
opls_449                      HC                      0.03                      2.5
opls_450                      P                      0.2                      3.74
opls_451                      O2                      0.2                      3.15
opls_452                      OS                      0.14                      2.9
opls_453                      CT                      0.066                      3.5
opls_454                      HC                      0.03                      2.5
opls_455                      CT                      0.066                      3.5
opls_456                      HC                      0.03                      2.5
opls_457                      CA                      0.07                      3.55
opls_458                      CT                      0.066                      3.5
opls_459                      HC                      0.03                      2.5
opls_460                      CA                      0.07                      3.55
opls_461                      CT                      0.066                      3.5
opls_462                      HC                      0.03                      2.5
opls_463                      CA                      0.07                      3.55
opls_465                      C_2                      0.105                      3.75
opls_466                      O_2                      0.21                      2.96
opls_467                      OS                      0.17                      3
opls_468                      CT                      0.066                      3.5
opls_469                      HC                      0.015                      2.42
opls_470                      C                      0.105                      3.75
opls_471                      C                      0.105                      3.75
opls_472                      CA                      0.07                      3.55
opls_473                      OS                      0.17                      3
opls_474                      SY                      0.25                      3.55
opls_475                      OY                      0.17                      2.96
opls_476                      CT                      0.066                      3.5
opls_477                      HC                      0.03                      2.5
opls_478                      N                      0.17                      3.25
opls_479                      H                      0                      0
opls_480                      N                      0.17                      3.25
opls_481                      H                      0                      0
opls_482                      CT                      0.066                      3.5
opls_483                      HC                      0.03                      2.5
opls_484                      CT                      0.066                      3.5
opls_485                      HC                      0.03                      2.5
opls_486                      CT                      0.066                      3.5
opls_487                      HC                      0.03                      2.5
opls_488                      CA                      0.07                      3.55
opls_490                      CT                      0.066                      3.5
opls_491                      CT                      0.066                      3.5
opls_492                      CT                      0.066                      3.5
opls_493                      SY2                      0.25                      3.55
opls_494                      OY                      0.17                      2.96
opls_496                      SZ                      0.395                      3.56
opls_497                      OY                      0.28                      2.93
opls_498                      CT                      0.066                      3.5
opls_499                      CT                      0.066                      3.5
opls_500                      C*                      0.07                      3.55
opls_501                      CB                      0.07                      3.55
opls_502                      CN                      0.07                      3.55
opls_503                      NA                      0.17                      3.25
opls_504                      H                      0                      0
opls_505                      CT                      0.066                      3.5
opls_506                      CR                      0.07                      3.55
opls_507                      CV                      0.07                      3.55
opls_508                      CW                      0.07                      3.55
opls_509                      CR                      0.07                      3.55
opls_510                      CX                      0.07                      3.55
opls_511                      NB                      0.17                      3.25
opls_512                      NA                      0.17                      3.25
opls_513                      H                      0                      0
opls_514                      CW                      0.07                      3.55
opls_515                      CT                      0.066                      3.5
opls_516                      CT                      0.066                      3.5
opls_517                      CM                      0.076                      3.55
opls_518                      CM                      0.076                      3.55
opls_520                      NC                      0.17                      3.25
opls_521                      CA                      0.07                      3.55
opls_522                      CA                      0.07                      3.55
opls_523                      CA                      0.07                      3.55
opls_524                      HA                      0.03                      2.42
opls_525                      HA                      0.03                      2.42
opls_526                      HA                      0.03                      2.42
opls_527                      NC                      0.17                      3.25
opls_528                      CA                      0.07                      3.55
opls_529                      HA                      0.03                      2.42
opls_530                      NC                      0.17                      3.25
opls_531                      CQ                      0.07                      3.55
opls_532                      CA                      0.07                      3.55
opls_533                      CA                      0.07                      3.55
opls_534                      HA                      0.03                      2.42
opls_535                      HA                      0.03                      2.42
opls_536                      HA                      0.03                      2.42
opls_537                      NC                      0.17                      3.25
opls_538                      CA                      0.07                      3.55
