GROMACS
full-atom                                                        
name                      bond_type    epsilon(kcal/mol)                     sigma(Å)
opls_766                      CT                      0.066                      3.5
opls_767                      NO                      0.12                      3.25
opls_768                      CA                      0.07                      3.55
opls_771                      O                      0.21                      2.96
opls_772                      C                      0.105                      3.75
opls_773                      OS                      0.17                      3
opls_774                      CT                      0.066                      3.5
opls_775                      CT                      0.066                      3.5
opls_776                      CT                      0.066                      3.5
opls_777                      HC                      0.015                      2.42
opls_778                      HC                      0.015                      2.42
opls_779                      HC                      0.015                      2.42
opls_781                      P+                      0.2                      3.74
opls_782                      CT                      0.066                      3.5
opls_783                      CT                      0.066                      3.5
opls_784                      HC                      0.03                      2.5
opls_785                      P                      0.2                      3.74
opls_786                      F                      0.061                      3.1181
opls_787                      N                      0.17                      3.15
opls_788                      O                      0.21                      2.86
opls_795                      OW                      0.14                      3.215
opls_796                      HW                      0                      0
opls_797                      LP                      0                      0
opls_900                      NT                      0.17                      3.3
opls_901                      NT                      0.17                      3.3
opls_902                      NT                      0.17                      3.3
opls_903                      CT                      0.066                      3.5
opls_904                      CT                      0.066                      3.5
opls_905                      CT                      0.066                      3.5
opls_906                      CT                      0.066                      3.5
opls_906B                      CT_2                      0.066                      3.5
opls_907                      CT                      0.066                      3.5
opls_908                      CT                      0.066                      3.5
opls_909                      H                      0                      0
opls_910                      H                      0                      0
opls_911                      HC                      0.015                      2.5
opls_912                      CT                      0.066                      3.5
opls_912B                      CT_2                      0.066                      3.5
opls_913                      CT                      0.066                      3.5
opls_914                      CT                      0.066                      3.5
opls_915                      CT                      0.066                      3.5
opls_916                      CA                      0.07                      3.55
opls_917                      CA                      0.07                      3.55
opls_918                      CA                      0.07                      3.55
opls_925                      CZ                      0.086                      3.3
opls_926                      HC                      0.015                      2.42
opls_927                      CZ                      0.21                      3.3
opls_928                      CZ                      0.135                      3.3
opls_929                      CZ                      0.1                      3.3
opls_930                      HC                      0.015                      2.5
opls_931                      CZ                      0.21                      3.3
opls_940                      N3                      0.17                      3.25
opls_941                      H3                      0                      0
opls_942                      CT                      0.066                      3.5
opls_943                      CT                      0.066                      3.5
opls_944                      CT                      0.066                      3.5
opls_945                      CT                      0.066                      3.5
opls_950                      HC                      0.03                      2.5
opls_951                      CT                      0.066                      3.5
opls_952                      C                      0.105                      3.75
opls_953                      N3                      0.17                      3.25
opls_954                      O2                      0.21                      2.96
opls_955                      H3                      0                      0
opls_956                      F                      0.061                      2.94
opls_957                      CT                      0.066                      3.5
opls_958                      HC                      0.03                      2.5
opls_959                      CT                      0.066                      3.5
opls_960                      CT                      0.066                      3.5
opls_961                      CT                      0.066                      3.5
opls_962                      CT                      0.066                      3.5
opls_963                      CT                      0.066                      3.5
opls_964                      CT                      0.097                      3.5
opls_965                      F                      0.053                      2.95
